회사명,종목코드,폐지일자,폐지사유,비고
케이알,35950,2009-08-21,감사범위제한으로 인한 감사의견거절 및 계속기업 불확실성으로 인한 감사의견거절 사유해소 확인서 미제출,
소예,35010,2009-11-03,최근 사업연도의 재무제표에 대한 감사인의 감사의견거절,
쓰리디월드,65340,2010-04-15,감사의견거절(감사범위제한),
에이스일렉,38690,2010-04-17,감사의견거절(감사범위제한),
테이크시스템,76090,2010-04-23,감사의견거절(감사범위제한),
CL,35710,2010-05-01,감사범위제한으로 인한 감사의견거절,
에버리소스,20070,2010-05-01,감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절,
JS,37110,2010-05-01,감사의견거절(감사범위제한),
아구스,78670,2010-05-01,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
지엔텍홀딩스,65410,2010-05-05,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
하이스마텍,57100,2010-05-08,감사의견거절(감사범위제한),
쏠라엔텍,30390,2010-05-08,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
보홍,41320,2010-05-08,감사의견거절(감사범위제한),
해원에스티,58480,2010-05-08,감사범위제한으로 인한 감사의견거절,
단성일렉트론,85990,2010-05-08,감사의견거절(감사범위제한),
네오세미테크,89240,2010-09-03,감사의견거절(감사범위 제한),
세실,84450,2011-02-10,감사의견거절(범위제한 및 계속기업 존속 불확실성),
엔빅스,54170,2011-04-29,감사의견거절(감사범위 제한),
뉴젠아이씨티,54150,2011-04-29,감사의견거절(감사범위제한),
지앤알,43630,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
유니텍전자,39040,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
세븐코스프,17160,2011-04-29,감사의견거절(감사범위제한 및 계속기업으로서의 존속능력에 대한 불확실성),
맥스브로,88810,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
넥서스투자,19430,2011-04-29,감사의견거절(감사범위제한),
지노시스템,33850,2011-05-07,감사의견거절(감사범위제한),
콜마파마,38710,2011-05-07,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),
나이스메탈,72530,2011-05-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
에코솔루션,52510,2011-06-16,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
씨모텍,81090,2011-09-23,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성) 등,
에코페트로시스템,42870,2011-10-06,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
선팩테크,54010,2011-10-06,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
제일창투,26540,2011-10-14,감사의견거절(감사범위제한),
대양글로벌,40180,2011-10-25,감사의견거절(감사범위 제한),
엘앤씨피,15390,2012-04-13,감사의견거절(감사범위제한),
평산,89480,2012-04-13,감사의견거절(감사범위제한),
코아에스앤아이,52350,2012-04-17,감사의견거절(감사범위 제한),
비앤비성원,15200,2012-05-01,감사의견거절(감사범위제한),
폴리플러스,65610,2012-05-01,감사의견거절(감사범위제한),
아인스M&M,40740,2012-05-01,감사의견거절(감사범위 제한 및 계속기업존속 불확실성),
블루젬디앤씨,53040,2012-05-17,감사의견거절(감사범위 제한 및 계속기업존속 불확실성),
평안물산,37240,2012-06-01,감사의견거절(감사범위제한),
성융광전투자,900150,2012-09-26,감사의견거절(감사범위 제한 및 계속기업존속능력 불확실성),
인스프리트,73130,2012-10-12,자본잠식률 50% 이상으로 관리종목 지정 이후 최근 반기의 재무제표에 대한 감사인의 감사의견거절 등,
디에스,51710,2013-05-01,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
자유투어,46840,2013-05-01,감사의견거절(감사범위 제한),
에듀언스,9010,2013-05-01,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
네오퍼플,28090,2013-05-03,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
마이스코,88700,2013-05-04,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),
룩손에너지,33550,2013-05-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
지앤에스티,36920,2013-05-07,감사의견거절(감사범위 제한),
우경,25920,2013-07-10,감사의견거절(감사범위 제한),
에스비엠,37630,2013-07-24,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
지아이바이오,35450,2013-08-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
디브이에스,46400,2014-09-02,감사의견거절(감사범위제한),
뉴아세아,13340,2014-09-02,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
에이스하이텍,71930,2015-07-10,감사의견거절(감사범위 제한),
제이앤유글로벌,86200,2016-05-09,감사의견거절(감사범위 제한),
