,MDD
016360,-0.5261958997722096
006360,-0.7248628884826326
000990,-0.302945301542777
010620,-0.6898638426626323
008930,-0.8293355590231157
008770,-0.5318181818181819
002380,-0.7245746351257433
000120,-0.43358395989974935
014680,-0.47516778523489933
023530,-0.801905512667174
030000,-0.6013400335008375
047050,-0.6936619718309859
001450,-0.6402439024390244
007070,-0.5535405872193437
012750,-0.3824074074074074
052690,-0.38141592920353984
138930,-0.683982683982684
204320,-0.7503681885125184
026960,-0.5650224215246636
047040,-0.7222222222222222
004170,-0.569280343716434
012450,-0.7175141242937854
000080,-0.4
001440,-0.6535274918403213
010060,-0.857372654155496
001040,-0.744037174864547
088350,-0.8893695920889988
093370,-0.328740157480315
111770,-0.5851063829787234
039490,-0.48641975308641977
042660,-0.7040951122853368
006280,-0.6702970297029703
000880,-0.7682692307692308
004000,-0.6888020833333334
006260,-0.732519422863485
112610,-0.5016251354279523
064350,-0.781750924784217
069620,-0.7084282460136674
081660,-0.7727272727272727
069960,-0.5564853556485355
120110,-0.7646067415730337
175330,-0.5157819225251076
003090,-0.693050193050193
004800,-0.6116365032883683
005300,-0.5752869434817033
011210,-0.7440550688360451
016380,-0.8980198209596105
079550,-0.816628701594533
051600,-0.6077654516640254
004370,-0.4308510638297872
007310,-0.5280898876404494
009240,-0.8010615711252654
010780,-0.6710526315789473
014820,-0.8053097345132744
001230,-0.48794063079777367
005070,-0.807040112267571
001120,-0.8105413105413105
139130,-0.7399239543726236
178920,-0.5947653429602888
249420,-0.44834437086092715
017800,-0.7277158774373259
019170,-0.8833333333333333
020560,-0.731359567556845
042700,-0.3176178660049628
005850,-0.6860201241704131
010120,-0.6765799256505576
000150,-0.7719353539598326
000210,-0.5967082312435672
000240,-0.6785407725321888
003690,-0.5789473684210527
073240,-0.7048648648648649
181710,-0.4281691770650518
195870,-0.20140105078809106
014830,-0.4599326599326599
018670,-0.6188823647884487
031430,-0.6590909090909091
042670,-0.6003858343668182
012510,-0.7098814229249012
000670,-0.7108433734939759
001740,-0.5055418719211823
003240,-0.7164093767867353
001800,-0.7270408163265306
079160,-0.8395705214739263
082640,-0.8757936507936508
089590,-0.7647141222888894
105630,-0.7806763285024154
161890,-0.6612729234088457
185750,-0.6271906755591088
214320,-0.4440874035989717
241590,-0.5509641873278237
016710,-0.4409090909090909
017390,-0.3850050658561297
020000,-0.6553497942386831
032350,-0.6558378899967835
034120,-0.35327868852459016
039130,-0.7767070122352322
069260,-0.6189735614307932
005250,-0.6315298507462687
005880,-0.7227862380146645
006650,-0.8201754385964912
007700,-0.7433333333333333
011000,-0.7365145777613007
003850,-0.48042477553438767
097520,-0.43431221020092736
103140,-0.764505119453925
114090,-0.6794117647058824
192080,-0.52
192820,-0.6608952365754408
023590,-0.5597014925373134
036420,-0.7473305189967718
