회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)티엠,76090,2009,53.46,70.66,-96.78,-3.47,-27.91,5.16,-553.43,-3338.11,-7.88,-193.68,53.46,528.62,2.11,0.4,0.01,0.39,148.60000000000005,0.4489867590554493,-1.3821390808483038,0.8409224677869017,-0.6534568906645833,-80.81,-86.87,3.3399999999999994,-16.68,-6.76,-535.6099999999999,-37.65000000000001,-1.5,-78.59,303.76,0.4979521339441876,-10.59,-5.0699999999999985,-0.35,-8.459999999999999,1.0
(주)포넷,48270,2008,10.26,221.0,83.54,-98.72,-75.21,55.04,-138.27,-823.92,-31.8,0.0,10.26,0.0,28.77,5.28,0.23,254.2,80.44,0.34393875703458243,-4.735881803271959,3.5544025609271457,-3.893737675230928,-88.78999999999998,168.44,-98.87,-213.89,7.549999999999998,-97.06,3.86,-27.26,-87.02,-350.86,-2.2501002390696327,25.09,4.12,0.12,218.83,1.0
(주)포이보스,38810,2008,7.17,196.65,-45.74,-39.56,-79.09,-11.15,-122.12,-1401.53,-11.72,0.0,6.73,0.0,12.44,3.2,0.1,1.01,-218.29,0.26675686901581663,-5.033894660530613,5.027712400693676,-0.9234073592651948,-79.47,-47.09,-16.12,-68.21000000000001,-22.15,-87.94,40.55,-8.280000000000001,-77.95,-115.42,0.3319022017136871,-15.05,0.4200000000000004,0.0,-0.8899999999999999,1.0
(주)플러스프로핏,36660,2009,855.17,2.53,33.89,-13.8,-8.15,9.2,-35.26,-101.9,-16.97,-58.72,849.55,17.62,91.29,3.03,0.48,10.3,89.06,0.8110912702288462,-4.605540973989334,0.14977520989752988,-54.3903021442495,152.14,-91.43,29.98,-211.7,-0.0600000000000005,27.22,20.320000000000007,15.439999999999998,150.39999999999995,-4.099999999999998,20.14191441561729,32.84,0.73,-0.040000000000000036,7.010000000000002,1.0
(주)피더블유제네틱스,65910,2008,8.32,69.65,-81.21,150.78,22.28,-73.7,-250.56,-1444.24,-30.19,-579.0,5.33,685.97,5.76,1.18,0.12,0.75,-112.24,0.07235420099079372,-2.447101431883755,0.8727685140870688,-3.9433895395669927,-184.98,-96.38,62.36,-67.63,-78.94,-235.46,-520.83,-16.090000000000003,-182.2,590.82,4.954026591767768,-75.58999999999997,-3.2,-0.81,-3.55,1.0
(주)피코소프트,39580,2003,360.3,6.8,-72.26,-55.18,23.97,10.53,-250.29,-268.0,-27.54,-45.64,350.83,36.57,1.89,0.24,0.11,1.35,1418.97,0.7068687528089589,-0.7217705925004951,0.2677502499212696,-71.65061903411775,200.14,-85.13000000000002,-5.170000000000002,13.81,-29.129999999999995,-254.85,-75.19,-29.66,214.23,-48.93,-75.93254427645174,-3.67,-1.02,-0.36,-3.06,1.0
(주)하이드로젠파워,70080,2009,46.7,40.1,59.57,11.74,13.4,-8.54,-40.47,-61.83,-30.09,-155.45,38.94,324.45,12.01,4.08,0.74,8.26,75.67,0.3335286144172672,-0.3731899072574403,0.7644027452498604,-8.927633740286296,-36.25,2.5799999999999983,15.74,-46.76,-40.06,-55.85,-164.45,-39.5,-32.66,149.66,-15.163590753035658,5.13,1.12,0.13,1.7599999999999998,1.0
(주)하이스마텍,57100,2009,75.89,46.49,-55.6,-42.16,-56.17,7.23,-91.39,-209.28,-57.39,-584.6,53.8,195.6,4.31,6.12,0.63,2.42,-6.390000000000014,0.4530726110943913,-3.753585176555912,0.6617057229438564,-6.4443108059137355,21.81,-27.46,-128.56,-14.35,-1.8699999999999992,-52.26,-457.27,-28.11,20.04,-275.65,3.5241252413593513,-1.8100000000000005,1.7300000000000004,-0.12,-0.9500000000000002,1.0
(주)한빛네트,36720,2003,43.76,107.76,-84.28,-41.73,-61.5,-56.01,-317.46,-1220.52,-48.48,-20.84,43.76,62.09,0.0,0.48,0.15,1.86,557.4399999999998,0.5325603784713195,-3.1854555042098243,1.3636550308511366,-11.31964799124749,-373.9,-70.03,-34.52,-102.76,-87.4,-317.42,-13.95,-48.45,-373.9,-65.42999999999999,-11.309737593002948,-1453.19,-2.04,-0.64,-23.06,1.0
(주)한신코퍼레이션,37120,2004,62.29,71.19,-78.91,-98.82,-85.23,-36.61,-128.93,-776.47,-16.03,-746.17,62.29,-299.01,1.89,0.7,0.12,1.05,369.94,0.8142634850422849,-5.319356588658753,1.5024765211263655,-8.159435497307587,9.630000000000004,-93.62,-4321.04,-75.48,-25.85,-98.01,-676.1999999999998,-6.110000000000001,25.630000000000006,-549.41,-5.54140989075995,-0.29000000000000026,-2.04,-0.2,-1.86,1.0
