Date,Close,Open,High,Low,Volume,Change
1987-03-24,380.08,380.08,380.08,380.08,10600000.0,0.0070999999999999995
1987-03-25,384.57,384.57,384.57,384.57,10180000.0,0.0118
1987-03-26,393.41,393.41,393.41,393.41,9790000.0,0.023
1987-03-27,394.38,394.38,394.38,394.38,9620000.0,0.0025
1987-03-28,389.32,389.32,389.32,389.32,5390000.0,-0.0128
1987-03-30,397.06,397.06,397.06,397.06,10020000.0,0.0199
1987-03-31,405.13,405.13,405.13,405.13,11780000.0,0.0203
1987-04-01,396.9,396.9,396.9,396.9,6420000.0,-0.0203
1987-04-02,398.72,398.72,398.72,398.72,8570000.0,0.0046
1987-04-03,383.48,383.48,383.48,383.48,5330000.0,-0.0382
1987-04-04,387.24,387.24,387.24,387.24,5880000.0,0.0098
1987-04-06,394.08,394.08,394.08,394.08,9760000.0,0.0177
1987-04-07,390.24,390.24,390.24,390.24,7400000.0,-0.0097
1987-04-08,375.33,375.33,375.33,375.33,4780000.0,-0.0382
1987-04-09,374.09,374.09,374.09,374.09,5960000.0,-0.0033
1987-04-10,369.55,369.55,369.55,369.55,6670000.0,-0.0121
1987-04-11,363.52,363.52,363.52,363.52,2650000.0,-0.0163
1987-04-13,367.91,367.91,367.91,367.91,4580000.0,0.0121
1987-04-14,363.78,363.78,363.78,363.78,3450000.0,-0.011200000000000002
1987-04-15,361.52,361.52,361.52,361.52,3070000.0,-0.0062
1987-04-16,361.25,361.25,361.25,361.25,4270000.0,-0.0007000000000000001
1987-04-17,360.14,360.14,360.14,360.14,3530000.0,-0.0031
1987-04-18,357.51,357.51,357.51,357.51,2340000.0,-0.0073
1987-04-20,355.98,355.98,355.98,355.98,3880000.0,-0.0043
1987-04-21,361.34,361.34,361.34,361.34,4510000.0,0.0151
1987-04-22,364.16,364.16,364.16,364.16,4880000.0,0.0078000000000000005
1987-04-23,364.59,364.59,364.59,364.59,3550000.0,0.0012
1987-04-24,361.27,361.27,361.27,361.27,3790000.0,-0.0091
1987-04-25,357.36,357.36,357.36,357.36,1650000.0,-0.0108
1987-04-27,355.86,355.86,355.86,355.86,2530000.0,-0.0042
1987-04-28,351.1,351.1,351.1,351.1,2400000.0,-0.0134
1987-04-29,349.49,349.49,349.49,349.49,2170000.0,-0.0046
1987-04-30,358.63,358.63,358.63,358.63,2860000.0,0.0262
1987-05-01,364.55,364.55,364.55,364.55,4070000.0000000005,0.0165
1987-05-02,365.68,365.68,365.68,365.68,2250000.0,0.0031
1987-05-04,365.29,365.29,365.29,365.29,2640000.0,-0.0011
1987-05-06,369.56,369.56,369.56,369.56,3080000.0,0.011699999999999999
1987-05-07,372.93,372.93,372.93,372.93,3890000.0,0.0091
1987-05-08,378.31,378.31,378.31,378.31,4570000.0,0.0144
1987-05-09,383.0,383.0,383.0,383.0,3630000.0,0.0124
1987-05-11,382.2,382.2,382.2,382.2,3620000.0,-0.0021
1987-05-12,386.64,386.64,386.64,386.64,5050000.0,0.0116
1987-05-13,385.39,385.39,385.39,385.39,5950000.0,-0.0032
1987-05-14,383.46,383.46,383.46,383.46,4930000.0,-0.005
1987-05-15,386.19,386.19,386.19,386.19,6030000.0,0.0070999999999999995
1987-05-16,386.52,386.52,386.52,386.52,3840000.0,0.0009
1987-05-18,387.68,387.68,387.68,387.68,6370000.0,0.003
1987-05-19,391.33,391.33,391.33,391.33,7800000.0,0.009399999999999999
1987-05-20,392.22,392.22,392.22,392.22,7390000.0,0.0023
1987-05-21,392.35,392.35,392.35,392.35,7080000.0,0.0003
1987-05-22,394.68,394.68,394.68,394.68,7930000.0,0.0059
1987-05-23,397.31,397.31,397.31,397.31,5780000.0,0.0067
1987-05-25,397.62,397.62,397.62,397.62,6690000.0,0.0008
1987-05-26,396.12,396.12,396.12,396.12,7520000.0,-0.0038
1987-05-27,390.34,390.34,390.34,390.34,7350000.0,-0.0146
1987-05-28,377.8,377.8,377.8,377.8,5370000.0,-0.0321
1987-05-29,384.19,384.19,384.19,384.19,6840000.0,0.0169
1987-05-30,387.99,387.99,387.99,387.99,3880000.0,0.009899999999999999
1987-06-01,387.44,387.44,387.44,387.44,5060000.0,-0.0014000000000000002
1987-06-02,383.3,383.3,383.3,383.3,3870000.0,-0.010700000000000001
1987-06-03,381.76,381.76,381.76,381.76,4980000.0,-0.004
1987-06-04,383.85,383.85,383.85,383.85,4710000.0,0.0055000000000000005
1987-06-05,384.96,384.96,384.96,384.96,5880000.0,0.0029
