,makeup,travel,flight
2020-06-29 00:00:00,96.44689539384339,87.27355528536911,102.06555652319871
2020-06-30 00:00:00,102.08095985449039,91.04835597258692,101.86148009288505
2020-07-01 00:00:00,99.7767211145574,89.78581985913107,106.77901500785715
2020-07-02 00:00:00,103.6293495510517,92.67202671931776,107.33193625758415
2020-07-03 00:00:00,103.9110882589124,91.88780762029005,106.9259159140294
2020-07-06 00:00:00,102.20126202695651,92.26541256348003,107.61947531811668
2020-07-07 00:00:00,101.65569512429755,92.56566036381908,105.77598539899509
2020-07-08 00:00:00,100.11224165022298,94.21730943416239,108.48612713661909
2020-07-09 00:00:00,99.7160604550574,93.68829523877696,109.17758098014578
2020-07-10 00:00:00,97.81551965371482,92.94232726316551,108.44801476208232
2020-07-13 00:00:00,98.72236666746365,93.4997450697718,112.40428609645998
