날짜,시가,고가,저가,종가,거래량,거래대금
2021-01-06,405.57,408.79,397.53,398.92,155557589,772900568729
2021-01-07,399.27,412.23,399.27,411.16,93910990,911468984493
2021-01-08,411.35,424.31,411.35,421.76,118031045,1350275110608
2021-01-11,421.79,430.31,407.95,416.02,107569093,1299538403849
2021-01-12,416.01,421.16,407.18,416.79,93265043,1228541000399
2021-01-13,417.25,423.97,416.49,419.46,77847623,815139241285
2021-01-14,421.23,431.64,421.23,427.02,50770562,848637906553
2021-01-15,430.21,434.08,420.99,423.37,61305007,660269790587
2021-01-18,423.35,423.35,403.84,405.31,103502046,1201716755653
2021-01-19,404.85,412.86,402.18,412.21,92549011,733405309868
2021-01-20,412.26,415.85,405.74,411.58,52035996,584685277190
2021-01-21,412.5,427.22,412.5,425.5,86841558,884862625946
2021-01-22,424.32,428.38,420.73,420.99,57564578,832214879896
2021-01-25,421.88,428.68,420.88,425.31,51730251,651632860576
2021-01-26,424.49,425.15,413.86,414.93,49065646,695268449646
2021-01-27,416.85,419.43,411.7,413.09,48527126,561692867769
2021-01-28,412.15,412.15,397.41,401.21,57135360,740362656020
2021-01-29,401.4,404.24,386.87,392.02,73415552,712152412587
2021-02-01,391.46,396.34,384.97,396.28,94713390,715638627380
2021-02-02,396.59,406.17,395.36,400.21,63828403,580387936297
2021-02-03,400.68,407.7,400.68,406.73,38635328,480246743744
2021-02-04,407.39,409.02,402.12,405.33,496494635,1036390924425
2021-02-05,405.62,410.87,404.78,410.48,318816395,697827159854
2021-02-08,410.95,416.4,409.19,414.09,500639190,845253085342
2021-02-09,414.73,417.35,411.82,411.92,1353261846,1098801285953
2021-02-10,411.92,416.58,408.31,415.08,1412835173,1155745419717
2021-02-15,416.95,419.02,414.95,415.49,809279195,1034553886135
2021-02-16,415.53,421.56,414.57,419.12,487572447,998772167553
2021-02-17,419.37,419.37,412.87,416.53,49358339,562940262596
2021-02-18,415.5,417.92,410.8,410.8,315363319,975285490539
2021-02-19,411.91,412.96,401.8,410.42,970316773,1294735816233
2021-02-22,410.74,416.86,406.72,408.13,214766612,726925830897
2021-02-23,408.04,413.06,402.59,410.18,292270483,798032371317
2021-02-24,410.92,413.17,398.0,398.69,221246117,823881332655
2021-02-25,399.32,408.87,399.32,408.74,177458244,666708874352
2021-02-26,407.47,407.47,395.34,399.95,175984842,593914906719
2021-03-02,400.58,407.39,399.47,402.13,360265813,614434794370
2021-03-03,403.06,412.38,402.06,412.26,965929024,1154528682682
2021-03-04,412.39,412.76,406.17,410.39,299246910,925937940321
2021-03-05,408.21,408.21,400.72,402.81,163845262,711565970492
2021-03-08,403.32,406.34,399.21,399.86,871661178,1071035596727
2021-03-09,400.79,405.59,394.68,401.09,393865691,841676158199
2021-03-10,401.25,404.88,395.7,396.8,129803221,541452460279
2021-03-11,398.16,402.45,395.58,399.48,145547205,582967590508
2021-03-12,402.65,406.44,402.64,406.36,135118445,643509451630
2021-03-15,406.75,408.68,404.83,406.58,87952893,605981190504
2021-03-16,406.83,413.52,406.83,411.54,190812389,559997266579
2021-03-17,411.97,413.11,406.11,409.44,74317728,787273013903
2021-03-18,410.42,414.7,410.42,412.08,75137138,490134259983
2021-03-19,411.86,412.24,405.26,410.86,89180657,751139070440
2021-03-22,411.04,412.53,408.12,409.58,71104253,440980472197
2021-03-23,411.08,412.5,404.37,405.82,146698657,779128120349
2021-03-24,405.16,405.82,400.58,403.29,67830352,476223061398
2021-03-25,403.39,410.94,402.16,410.08,98180605,609349783757
2021-03-26,410.19,413.3,409.24,411.64,146833517,564918651774
2021-03-29,411.52,412.74,406.87,408.79,255942068,499401017370
2021-03-30,409.14,414.13,409.14,413.76,98473946,461372460277
2021-03-31,413.84,415.22,411.15,411.58,123910690,515509650761
2021-04-01,411.75,413.84,409.89,410.57,91479803,519180156784
2021-04-02,410.84,412.83,408.7,409.46,99159382,478170533941
2021-04-05,410.32,411.16,407.35,411.11,69738513,332336344157
2021-04-06,411.25,412.72,409.46,411.79,356904130,524999122138
2021-04-07,411.86,416.75,410.83,416.03,147922705,475574491397
2021-04-08,416.42,418.79,413.7,415.17,102869501,424155659411
2021-04-09,415.33,418.09,415.13,417.06,82085020,384837005751
2021-04-12,417.27,417.27,413.23,417.11,126219577,475584679035
2021-04-13,419.74,425.98,419.74,423.48,696684827,1173474476764
