티커,VS,GS,GS_Rank,VS_Rank,Rank,시가총액,cap_ratio,cum_cap,group
102260,-0.13461692127453403,-0.19885222424743304,408.0,295.0,1.383050847457627,226088262400,0.0001346137910635901,0.7881789882752442,value
286940,-0.5071254953970007,-0.748096341958498,551.0,398.0,1.3844221105527639,465739012750,0.0002773027378200206,0.7884562910130642,value
005820,-0.09280162839895778,-0.17243966055422288,396.0,286.0,1.3846153846153846,57449250000,3.4205496800969505e-05,0.7884904965098652,value
284740,0.18100632148961882,0.05972522756257004,312.0,225.0,1.3866666666666667,705654028500,0.00042014902917702135,0.7889106455390422,value
014530,-0.32816048933658537,-0.5123551671361392,502.0,362.0,1.3867403314917126,151681977000,9.031201241161947e-05,0.7890009575514538,value
118000,-0.15538246203121317,-0.2418278732066551,423.0,303.0,1.396039603960396,95293108125,5.673787047044354e-05,0.7890576954219243,value
003060,-0.35809950368849985,-0.5663272394706947,514.0,366.0,1.4043715846994536,311686249794,0.00018557915064574122,0.78924327457257,value
002390,-0.5829984310941815,-1.2219731085277044,587.0,417.0,1.407673860911271,279399719900,0.0001663556308434179,0.7894096302034135,value
004450,-0.2934861413338045,-0.4738731781543513,492.0,347.0,1.4178674351585014,93823205450,5.586268495892774e-05,0.7894654928883724,value
011210,-0.18671727813079803,-0.2879426204300825,443.0,312.0,1.419871794871795,1808473019500,0.0010767715519897458,0.7905422644403621,value
011330,-0.5517504114252991,-1.0315576945695617,580.0,408.0,1.4215686274509804,94433188395,5.622587106969235e-05,0.7905984903114318,value
005380,-0.01616756345645455,-0.1369159708196069,384.0,269.0,1.4275092936802973,39635448688500,0.023599093344464507,0.8141975836558963,value
136490,0.0373759727210306,-0.09113123034580758,368.0,256.0,1.4375,307945871800,0.00018335211569736184,0.8143809357715937,value
025540,-0.1257117792082045,-0.2402610204653522,422.0,291.0,1.4501718213058419,618651000000,0.0003683471029024153,0.8147492828744961,value
008250,0.04445267562958409,-0.08345774220005903,366.0,252.0,1.4523809523809523,116645562750,6.945120125140733e-05,0.8148187340757476,value
161000,0.6052082223328259,0.3965434005939622,226.0,155.0,1.4580645161290322,473838425660,0.0002821251583456626,0.8151008592340933,value
029780,0.5749157305823552,0.35015567981209383,235.0,161.0,1.4596273291925466,3858101070300,0.0022971277052000446,0.8173979869392933,value
053690,-0.16549441024361533,-0.2896147843590091,446.0,304.0,1.4671052631578947,136969375000,8.155207454219667e-05,0.8174795390138355,value
002450,0.5294076084743321,0.3186509403504183,244.0,166.0,1.4698795180722892,149828664325,8.920854316222267e-05,0.8175687475569977,value
001230,1.1749325874392187,0.919911979059141,112.0,76.0,1.4736842105263157,1684387808050,0.0010028907562735162,0.8185716383132712,value
053210,0.2756863722801401,0.075706122483605,307.0,207.0,1.4830917874396135,449526480400,0.00026764973584987237,0.8188392880491211,value
001390,0.0014750159823352371,-0.155434746331286,392.0,264.0,1.4848484848484849,471447264000,0.0002807014518131712,0.8191199895009342,value
041650,0.48842679944091355,0.2539113867194015,261.0,175.0,1.4914285714285713,89643303750,5.337395596372385e-05,0.819173363456898,value
093230,-0.3878738868353791,-0.793144982505449,555.0,372.0,1.4919354838709677,166508308185,9.913966506015068e-05,0.8192725031219581,value
005680,0.15173634332346408,-0.013566232675519988,345.0,231.0,1.4935064935064934,240000000000,0.0001428968912950592,0.8194154000132532,value
300720,-0.5023932759325387,-1.5911896707905964,592.0,396.0,1.494949494949495,1326358491000,0.0007897187712779407,0.8202051187845312,value
008490,-0.20967651264553755,-0.39111787246895546,474.0,317.0,1.4952681388012619,420537257550,0.0002503894449068528,0.820455508229438,value
298000,-0.43904671039558546,-1.0252862739624207,579.0,383.0,1.5117493472584855,650785704000,0.0003874802250036108,0.8208429884544416,value
016590,0.2651576827884425,0.04176926434308381,319.0,211.0,1.5118483412322274,366710162000,0.00021834059231711482,0.8210613290467587,value
035000,0.2596140038837681,0.02973934643753008,325.0,214.0,1.5186915887850467,108682203040,6.470978730631015e-05,0.821126038834065,value
004990,0.8501773109532624,0.5801699489531384,180.0,118.0,1.5254237288135593,3587895905400,0.002136246546549716,0.8232622853806147,value
013870,0.22788606803287004,0.009903358038353571,334.0,217.0,1.5391705069124424,113289343200,6.745289566724606e-05,0.823329738276282,value
008110,-0.011676841447817832,-0.206645202073504,410.0,266.0,1.5413533834586466,78678352500,4.684538326861188e-05,0.8233765836595506,value
316140,1.1164936512623846,0.8858782287209024,122.0,79.0,1.5443037974683544,10848102180100,0.006459000324947685,0.8298355839844983,value
001080,0.37420947690804907,0.1395101031696806,292.0,188.0,1.553191489361702,103542500000,6.164958902882778e-05,0.8298972335735272,value
280360,-0.21457125283475026,-0.5080351986994335,499.0,321.0,1.5545171339563864,731505738000,0.00043554123301957527,0.8303327748065468,value
